Gene,P_Value,Mean_Cluster1,Mean_Cluster2,Mean_Cluster3,Adjusted_P_Value,Upregulated_In,Downregulated_In
Ackr1,0.000612551,0.442939288,-0.0855755,-0.043494018,0.000850001,Cluster1,Cluster2
Ackr3,2.46E-06,0.479856176,0.258357404,-0.073944619,4.82E-06,Cluster1,Cluster3
Adh1,2.04E-05,0.384685602,0.381491678,-0.072603386,3.62E-05,Cluster1,Cluster3
Adm,0.000272414,0.416541364,0.068314552,-0.052271233,0.000400514,Cluster1,Cluster3
Akr1c18,0.015928603,0.316182508,-0.071812326,-0.030227647,0.016813525,Cluster1,Cluster2
Aldh1a1,7.96E-09,0.728080375,-0.106868111,-0.074075635,1.95E-08,Cluster1,Cluster2
Aldh1a2,0.000918496,0.472018447,-0.211116589,-0.037185866,0.001226316,Cluster1,Cluster2
Aldh1a3,6.86E-06,0.570761457,-0.085283581,-0.057954708,1.27E-05,Cluster1,Cluster2
Angptl4,1.35E-07,0.655358233,-0.064671953,-0.069085465,3.06E-07,Cluster1,Cluster3
Aqp1,1.87E-20,0.890964457,0.59349414,-0.145990554,8.39E-20,Cluster1,Cluster3
Aqp2,0.00050308,0.440899573,-0.060728053,-0.04516226,0.000702475,Cluster1,Cluster2
AW112010,3.30E-06,0.510381726,0.146936955,-0.068878833,6.38E-06,Cluster1,Cluster3
C1qtnf3,2.91E-13,0.90038858,-0.091970291,-0.094677392,9.23E-13,Cluster1,Cluster3
C3,3.07E-13,0.881758062,-0.039268301,-0.096600011,9.60E-13,Cluster1,Cluster3
Ccl11,0.013786264,0.418144908,-0.354643655,-0.020133298,0.014935119,Cluster1,Cluster2
Ccl7,2.03E-06,0.608225837,-0.107635282,-0.060478628,4.11E-06,Cluster1,Cluster2
Ccl8,2.26E-17,1.069853429,-0.196164665,-0.105857905,8.33E-17,Cluster1,Cluster2
Cd34,7.89E-15,0.952906657,-0.088099363,-0.100905452,2.69E-14,Cluster1,Cluster3
Cd55,5.78E-10,0.658550498,0.246217866,-0.093201754,1.57E-09,Cluster1,Cluster3
Cd74,2.82E-05,0.465033182,0.118084336,-0.061551721,4.91E-05,Cluster1,Cluster3
Cdkn1a,1.40E-12,0.749239088,0.282035035,-0.106182508,4.22E-12,Cluster1,Cluster3
Cfb,1.38E-13,0.896503923,-0.046563305,-0.09770823,4.42E-13,Cluster1,Cluster3
Chchd10,0.016445827,0.250877153,0.117100102,-0.037286131,0.017285614,Cluster1,Cluster3
Chodl,0.001910655,0.390918943,-0.046076314,-0.040636176,0.002457977,Cluster1,Cluster2
Cilp,1.28E-62,1.93831888,-0.279906376,-0.197558124,3.95E-61,Cluster1,Cluster2
Clec3b,1.60E-12,0.882110006,-0.116886427,-0.090708812,4.69E-12,Cluster1,Cluster2
Col10a1,0.002604556,0.299043549,0.192569947,-0.048493653,0.003265611,Cluster1,Cluster3
Col12a1,1.02E-27,1.366515564,-0.28373334,-0.132676619,6.64E-27,Cluster1,Cluster2
Col1a1,9.73E-43,1.70032989,-0.417690456,-0.160147295,1.20E-41,Cluster1,Cluster2
Col1a2,2.60E-43,1.745413171,-0.522917239,-0.157199174,3.77E-42,Cluster1,Cluster2
Col3a1,4.62E-39,1.689287475,-0.571639474,-0.147136433,5.19E-38,Cluster1,Cluster2
Col6a1,1.66E-22,1.351096055,-0.606682036,-0.106257738,8.52E-22,Cluster1,Cluster2
Col8a1,0.003527084,0.374346779,-0.063226758,-0.037453738,0.004331861,Cluster1,Cluster2
Cpxm1,1.49E-63,1.937716128,-0.244137514,-0.200223208,5.26E-62,Cluster1,Cluster2
Cpxm2,6.72E-47,1.728290819,-0.302750739,-0.172088441,1.04E-45,Cluster1,Cluster2
Cpz,4.28E-26,1.27732149,-0.129547496,-0.134383184,2.58E-25,Cluster1,Cluster3
Crabp1,7.83E-20,1.170604202,-0.283793615,-0.110542491,3.39E-19,Cluster1,Cluster2
Cthrc1,1.40E-16,0.804657356,0.516305428,-0.130343438,5.08E-16,Cluster1,Cluster3
Ctla2a,6.57E-09,0.65557959,0.118719155,-0.083123743,1.67E-08,Cluster1,Cluster3
Ctsk,6.83E-20,1.323206385,-0.730113467,-0.093675772,3.01E-19,Cluster1,Cluster2
Cxcl12,1.84E-22,1.086372437,0.172492309,-0.135893641,9.10E-22,Cluster1,Cluster3
Cxcl14,1.72E-36,1.488949516,-0.117357603,-0.159219464,1.70E-35,Cluster1,Cluster3
Dcn,4.10E-77,2.045848243,-0.11222188,-0.222517399,4.57E-75,Cluster1,Cluster3
Dpt,1.61E-14,0.943405837,-0.090724886,-0.099631648,5.32E-14,Cluster1,Cluster3
Efemp1,5.72E-14,0.91319779,-0.056727774,-0.098817229,1.86E-13,Cluster1,Cluster3
Epyc,1.71E-09,0.76750821,-0.135622047,-0.076332133,4.49E-09,Cluster1,Cluster2
F2r,0.005135907,0.551662874,-0.629875651,-0.014184046,0.006069708,Cluster1,Cluster2
Fbln1,4.51E-70,2.038124133,-0.314543653,-0.206185105,1.86E-68,Cluster1,Cluster2
Fbln2,1.37E-53,1.654932197,0.206056475,-0.202681042,2.81E-52,Cluster1,Cluster3
Fcgr2b,1.22E-17,1.083553447,-0.212990825,-0.106119695,4.64E-17,Cluster1,Cluster2
Fgf21,3.83E-05,0.520496235,-0.070449086,-0.053410442,6.43E-05,Cluster1,Cluster2
Fndc1,2.97E-24,1.237523192,-0.141729597,-0.128956837,1.67E-23,Cluster1,Cluster2
Fxyd6,2.52E-15,0.922445239,0.050136217,-0.108027479,8.77E-15,Cluster1,Cluster3
Gas6,3.47E-34,1.154433817,0.742052758,-0.187102868,2.96E-33,Cluster1,Cluster3
Gpc3,0.000276368,0.464118947,-0.073662591,-0.046796693,0.000403922,Cluster1,Cluster2
Gzmc,3.17E-08,0.641757287,0.065900717,-0.077526459,7.47E-08,Cluster1,Cluster3
H2.Aa,1.22E-06,0.512819251,0.210468281,-0.074008721,2.53E-06,Cluster1,Cluster3
Has1,0.011882964,0.333125387,-0.084457673,-0.031175205,0.013044853,Cluster1,Cluster2
Hpgd,1.23E-08,0.739685479,-0.166913368,-0.070798335,2.96E-08,Cluster1,Cluster2
Hsd11b1,1.14E-22,1.087069595,0.186227003,-0.137021885,5.98E-22,Cluster1,Cluster3
Htra3,9.59E-23,1.204702742,-0.155937511,-0.124163889,5.15E-22,Cluster1,Cluster2
Ifi27l2a,8.46E-06,0.53986737,-0.00963758,-0.06024527,1.54E-05,Cluster1,Cluster3
Ifit1,0.00406444,0.321904899,0.075992306,-0.042168072,0.004873383,Cluster1,Cluster3
Igfbp2,8.20E-36,1.291508597,0.42886733,-0.178655285,7.79E-35,Cluster1,Cluster3
Igfbp3,1.22E-23,1.099795203,0.22083884,-0.141104087,6.68E-23,Cluster1,Cluster3
Igfbp4,3.76E-49,1.597988392,0.184068738,-0.194568725,6.19E-48,Cluster1,Cluster3
Igfbp6,6.77E-30,1.396098368,-0.230551143,-0.140081954,5.23E-29,Cluster1,Cluster2
Il33,3.30E-29,1.154174579,0.441065045,-0.164074524,2.33E-28,Cluster1,Cluster3
Isg15,0.003542655,0.375590239,-0.067391593,-0.037275952,0.004331861,Cluster1,Cluster2
Itgbl1,2.27E-72,2.010744204,-0.157999856,-0.215054174,1.40E-70,Cluster1,Cluster3
Itm2a,7.24E-28,1.359687123,-0.253654179,-0.134203708,4.83E-27,Cluster1,Cluster2
Lox,1.26E-29,1.429758617,-0.347030092,-0.134983724,9.13E-29,Cluster1,Cluster2
Lrrc15,1.04E-53,1.850756949,-0.367942547,-0.180940391,2.33E-52,Cluster1,Cluster2
Lrrn4cl,2.30E-18,1.064997791,-0.095014081,-0.113038542,9.33E-18,Cluster1,Cluster3
