"Gene","P_Value","Adjusted_P_Value"
"Casp1","1.851890e-78","1.031502e-75"
"Rbp1","2.428671e-78","1.352770e-75"
"Igfbp5","2.045811e-70","1.139516e-67"
"Smoc1","6.005491e-70","3.345058e-67"
"Scrg1","6.133631e-65","3.416432e-62"
"Dbi","8.075973e-65","4.498317e-62"
"Fth1","3.844386e-60","2.141323e-57"
"Plekhb1","1.860838e-59","1.036487e-56"
"Ndufa4","1.075038e-58","5.987960e-56"
"Col9a3","3.463847e-58","1.929363e-55"
"Insl6","5.117354e-58","2.850366e-55"
"Mia","3.387962e-55","1.887095e-52"
"Col9a1","8.414118e-55","4.686664e-52"
"Clu","3.124532e-53","1.740364e-50"
"Spint2","4.708678e-49","2.622734e-46"
"Trf","7.103532e-48","3.956667e-45"
"Cd24a","3.078607e-46","1.714784e-43"
"G0s2","1.888051e-42","1.051645e-39"
"Tspan7","4.590578e-41","2.556952e-38"
"Thrsp","4.326391e-40","2.409800e-37"
"Capn6","1.727101e-38","9.619951e-36"
"Krt23","5.912223e-38","3.293108e-35"
"Clca2","7.564899e-38","4.213649e-35"
"Lbp","7.761693e-38","4.323263e-35"
"Fxyd3","2.219980e-37","1.236529e-34"
"S100b","7.596753e-37","4.231392e-34"
"Ndp","1.078506e-36","6.007277e-34"
"X1500015O10Rik","1.644597e-35","9.160406e-33"
"Cbr2","2.927799e-35","1.630784e-32"
"Il17b","3.682320e-35","2.051052e-32"
"Perp","3.895527e-35","2.169808e-32"
"Cst3","9.988487e-33","5.563587e-30"
"Tmem37","1.272715e-32","7.089025e-30"
"Aqp5","1.523058e-32","8.483431e-30"
"Ly6e","2.981581e-32","1.660741e-29"
"Acot1","5.951489e-32","3.314979e-29"
"Mgst1","2.367354e-31","1.318616e-28"
"Gpr37l1","8.916452e-31","4.966464e-28"
"Lcn2","3.248523e-30","1.809427e-27"
"Chad","5.692202e-30","3.170556e-27"
"Id2","1.022484e-29","5.695237e-27"
"Slc38a3","1.179150e-29","6.567867e-27"
"Atp6v1c2","6.879539e-29","3.831903e-26"
"Car12","6.897129e-29","3.841701e-26"
"Kcnn4","3.964879e-27","2.208437e-24"
"Aldoc","8.649066e-27","4.817530e-24"
"Chil1","5.713539e-22","3.182441e-19"
"Serinc2","3.049953e-21","1.698824e-18"
"Cldn3","1.012360e-20","5.638843e-18"
"Krt18","1.527480e-20","8.508064e-18"
"Hist1h2bc","3.186372e-20","1.774809e-17"
"Otor","5.421247e-20","3.019635e-17"
"Csn3","1.403734e-19","7.818798e-17"
"Ank","1.562979e-19","8.705794e-17"
"Ucma","3.233430e-19","1.801021e-16"
"Eln","4.530073e-19","2.523251e-16"
"Lgals7","5.065302e-19","2.821373e-16"
"Mest","7.943508e-19","4.424534e-16"
"Cluster","3.352031e-18","1.867081e-15"
"Cox8b","3.865451e-18","2.153056e-15"
"Gdf10","9.611225e-18","5.353452e-15"
"Arsi","9.864254e-18","5.494390e-15"
"Bglap","1.229960e-16","6.850876e-14"
"Nupr1","2.199837e-16","1.225309e-13"
"Muc15","2.881162e-16","1.604807e-13"
"Apoe","4.910319e-16","2.735048e-13"
"Lect1","8.186093e-16","4.559654e-13"
"Lsr","8.550531e-16","4.762646e-13"
"Krt8","1.660125e-15","9.246894e-13"
"BC064078","1.777789e-15","9.902285e-13"
"Hhatl","3.547953e-15","1.976210e-12"
"Trp63","5.850913e-15","3.258959e-12"
"Epcam","5.891076e-15","3.281329e-12"
"Gjb2","1.320111e-14","7.353017e-12"
"Emb","9.959906e-14","5.547668e-11"
"Wfdc18","1.014839e-13","5.652651e-11"
"Bglap2","1.182463e-13","6.586321e-11"
"Slpi","1.463868e-13","8.153744e-11"
"Hcrtr1","1.886769e-13","1.050931e-10"
"R3hdml","2.229243e-13","1.241688e-10"
"Rgs5","2.402738e-13","1.338325e-10"
"Bpifb1","2.502511e-13","1.393898e-10"
"Krt5","2.521945e-13","1.404723e-10"
"Urah","3.153244e-13","1.756357e-10"
"S100a10","3.342613e-13","1.861836e-10"
"Tspan8","8.842266e-13","4.925142e-10"
"Comp","1.449101e-12","8.071493e-10"
"Wisp2","2.936490e-12","1.635625e-09"
"F11r","3.173950e-12","1.767890e-09"
"Cdh1","4.209157e-12","2.344501e-09"
"Cck","6.078715e-12","3.385844e-09"
"Cldn7","7.481156e-12","4.167004e-09"
"Efhd1","7.533724e-12","4.196284e-09"
"Matn4","1.975465e-11","1.100334e-08"
"Plet1","2.223525e-11","1.238503e-08"
"Pip","4.075073e-11","2.269816e-08"
"Lalba","4.943929e-11","2.753769e-08"
"Mal2","6.894317e-11","3.840135e-08"
"Mpzl2","7.562147e-11","4.212116e-08"
"Ly6d","8.228115e-11","4.583060e-08"
"Otos","9.388627e-11","5.229465e-08"
"Prss8","1.538939e-10","8.571889e-08"
"Car6","2.986055e-10","1.663233e-07"
"Higd1b","3.066476e-10","1.708027e-07"
"Arhgdib","7.273790e-10","4.051501e-07"
"X3110079O15Rik","7.983160e-10","4.446620e-07"
"Lrg1","1.169434e-09","6.513746e-07"
"Bpifb5","2.189859e-09","1.219752e-06"
"Prelp","2.232548e-09","1.243529e-06"
"Fam180a","4.506638e-09","2.510197e-06"
"Wif1","6.195723e-09","3.451018e-06"
"Krt14","8.229007e-09","4.583557e-06"
"Arg1","8.827536e-09","4.916937e-06"
"Wap","9.504229e-09","5.293856e-06"
"S100a8","1.183941e-08","6.594553e-06"
"Cyp26a1","1.804481e-08","1.005096e-05"
"Sod3","2.106863e-08","1.173522e-05"
"Ggt1","3.725167e-08","2.074918e-05"
"Rgs2","3.733231e-08","2.079410e-05"
"Krt17","8.144571e-08","4.536526e-05"
